ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,18,11,4,25,29,2054,2170372,3422,3349947,0.6206896552,0.6002337814,0.6478824889
$200K-$500K,50,14,22,42,64,11660,17353895,14242,22290179,0.78125,0.818705238,0.7785444433
$500K-$1M,51,18,20,49,69,15844,37055523,19589,50203059,0.7391304348,0.8088212772,0.7381128509
$1M-$2M,79,41,32,88,120,26915,113384446,42918,175662167,0.6583333333,0.6271261475,0.6454687878
$2M-$5M,185,65,67,183,250,117174,647827819,162265,858619084,0.74,0.7221150587,0.754499674
$5M-$10M,300,67,110,257,367,308427,2128291708,373060,2630898841,0.8174386921,0.8267490484,0.808959917
$10M-$20M,392,57,129,320,449,664248,5651134540,759181,6470746579,0.8730512249,0.8749534037,0.8733357845
$20M-$50M,732,60,271,521,792,2181981,24161428661,2341155,26126324290,0.9242424242,0.932010482,0.9247924964
$50M-$100M,588,44,245,387,632,3502550,42478958823,3744406,45595163132,0.9303797468,0.9354087137,0.9316549367
$100M-$200M,512,32,230,314,544,5458519,72863809194,5705981,77172061409,0.9411764706,0.9566311209,0.9441734206
$200M-$500M,513,25,242,296,538,11340649,164946869017,11759813,172879608578,0.9535315985,0.9643562359,0.9541140819
$500M-$1B,272,9,145,136,281,12511145,196827894464,13006803,202882470126,0.9679715302,0.9618924035,0.9701572262
> $1B,439,7,258,188,446,102806693,1758915887403,104059725,1778815501850,0.9843049327,0.9879585305,0.9888129969
Totals,4131,450,1775,2806,4581,138947859,2268792065865,141992560,2313682899241,0.9017681729,0.9785573202,0.9805976725
