League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,9,0,1,8,9,977893,15381677269,977893,15381677269,1,1,1
Association of Vermont Credit Unions,14,2,11,5,16,421175,6619702563,428711,6726787403,0.875,0.9824217247,0.9840808348
California and Nevada Credit Union League,210,57,120,147,267,11942502,256187273135,14227851,306800235779,0.7865168539,0.8393749696,0.8350295836
Carolinas Credit Union League,97,11,37,71,108,6353326,102742447219,6791840,109865117585,0.8981481481,0.9354351693,0.9351689551
Cooperative Credit Union Association,145,26,66,105,171,3222929,58788967712,4862996,79612976744,0.8479532164,0.6627455585,0.7384344879
Cornerstone League,590,73,304,359,663,12435851,179166806219,14928042,217763116149,0.8898944193,0.8330530555,0.8227601138
Credit Union Association of New Mexico,35,5,18,22,40,918554,16886007537,1097375,19215752349,0.875,0.8370465884,0.878758595
CrossState Credit Union Association,300,137,44,393,437,3912250,56586263903,5850429,91369229994,0.6864988558,0.6687116449,0.6193142254
Dakota Credit Union Association,57,4,16,45,61,535029,10898281889,539895,10970591018,0.9344262295,0.9909871364,0.993408821
GoWest Credit Union Association,231,43,135,139,274,11819219,205296550857,13106216,228625965088,0.8430656934,0.9018025493,0.8979581596
Hawaii Credit Union League,47,0,0,47,47,874682,15381030374,874682,15381030374,1,1,1
Illinois Credit Union League,190,16,157,49,206,2960779,46587844903,4008349,71803176809,0.9223300971,0.7386529965,0.6488270711
Indiana Credit Union League,113,16,34,95,129,2546390,39784891143,2810005,45183309276,0.8759689922,0.9061869997,0.8805218516
Iowa Credit Union League,64,4,67,1,68,1628009,32620023078,1644379,32877731497,0.9411764706,0.9900448741,0.9921616119
Kentucky's Credit Union,54,2,18,38,56,980211,14548960832,981747,14561531497,0.9642857143,0.9984354421,0.999136721
League of Southeastern Credit Unions,241,42,154,129,283,9510222,140567094014,12406724,188368603371,0.851590106,0.7665377258,0.7462341999
Louisiana Credit Union League,130,17,26,121,147,1289679,16573731482,1308033,16727440209,0.8843537415,0.9859682439,0.9908109833
Maine Credit Union League,47,0,12,35,47,732948,12037648648,732948,12037648648,1,1,1
Maryland & DC Credit Union Association,87,21,7,101,108,2232165,44474942605,2704048,54185813199,0.8055555556,0.825490154,0.8207857367
Michigan Credit Union League,175,11,120,66,186,4710789,76220151680,6002754,105118214191,0.9408602151,0.78477129,0.7250898645
Minnesota Credit Union Network,79,6,60,25,85,2102719,41060720768,2157485,41958434049,0.9294117647,0.9746158142,0.9786047001
Mississippi Credit Union Association,59,0,1,58,59,714321,7970168238,714321,7970168238,1,1,1
Montanas Credit Unions,41,1,9,33,42,415698,7416790639,431035,7626301237,0.9761904762,0.9644182027,0.9725278885
Nebraska Credit Union League and Affils,50,3,10,43,53,520581,5918237880,570029,6602385070,0.9433962264,0.9132535362,0.8963787809
New York Credit Union Association,213,71,12,272,284,4465247,87084342729,6780046,123072037211,0.75,0.6585865347,0.7075883743
Ohio Credit Union League,165,44,95,114,209,2737108,38469126001,3265422,46876264745,0.7894736842,0.838209579,0.8206525458
Tennessee Credit Union League,119,10,72,57,129,2288718,38338242111,2576754,41767638196,0.9224806202,0.8882175016,0.9178934641
The Credit Union League of Connecticut Inc,56,17,25,48,73,795390,13045498245,940606,15041951358,0.7671232877,0.845614423,0.8672743273
Utah Credit Union Association,53,3,24,32,56,3578250,54602298591,3818197,57651579430,0.9464285714,0.937156988,0.9471084597
Virginia Credit Union League,68,21,21,68,89,16056754,214350758767,19443588,258507769187,0.7640449438,0.8258122935,0.8291849775
West Virginia Credit Union League,70,6,3,73,76,350691,4675199698,377692,4980528896,0.9210526316,0.9285105324,0.9386954269
Wisconsin Credit Union League,107,3,107,3,110,3396590,64100089335,3875566,69305399092,0.9727272727,0.8764113422,0.9248931566
Totals,3916,672,1786,2802,4588,117426669,1924381770064,141235658,2323936405158,0.8535309503,0.8314236692,0.8280698929
