State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,73,16,49,40,89,2674092,37567134988,2724246,38265163077,0.8202247191,0.9815897683,0.9817581311
Alaska,9,0,1,8,9,998763,15145831832,998763,15145831832,1,1,1
Arizona,30,3,15,18,33,1943028,32023053613,1957928,32153134161,0.9090909091,0.9923899142,0.9959543431
Arkansas,47,2,0,49,49,370948,5001822059,374479,5033920638,0.9591836735,0.9905708998,0.9936235429
California,201,41,104,138,242,13531820,285529164507,13930485,292759644647,0.8305785124,0.9713818291,0.9753023333
Colorado,61,5,35,31,66,2335235,42691534062,2344484,42818605146,0.9242424242,0.9960549955,0.9970323395
Connecticut,59,7,26,40,66,882651,14714431585,902425,14904634629,0.8939393939,0.9780879297,0.9872386644
Delaware,15,0,0,15,15,249087,2864365211,249087,2864365211,1,1,1
District Of Columbia,23,7,0,30,30,274614,10456926561,296045,10662307013,0.7666666667,0.9276089784,0.9807377098
Florida,104,7,62,49,111,7299926,113064989327,7609924,117244474367,0.9369369369,0.9592639821,0.9643523922
Georgia,65,9,34,40,74,2207602,35695414824,2257281,36560840811,0.8783783784,0.9779916634,0.9763291552
Hawaii,45,0,0,45,45,876655,16443403180,876655,16443403180,1,1,1
Idaho,24,2,16,10,26,1344414,23120347642,1345748,23129770102,0.9230769231,0.9990087297,0.9995926263
Illinois,187,8,152,43,195,4064272,72907677448,4078812,72963290446,0.958974359,0.9964352365,0.9992377948
Indiana,112,12,31,93,124,2762001,46523796374,2794427,46949379952,0.9032258065,0.98839619,0.9909352673
Iowa,63,4,65,2,67,1693727,34121831938,1709596,34369534463,0.9402985075,0.99071769,0.9927929625
Kansas,57,3,44,16,60,666314,8847205369,667747,8860108771,0.95,0.9978539776,0.998543652
Kentucky,53,1,17,37,54,968322,15446496091,969006,15451796828,0.9814814815,0.999294122,0.9996569501
Louisiana,123,16,24,115,139,1277765,16622878305,1289614,16703220599,0.8848920863,0.9908119794,0.9951900118
Maine,48,0,12,36,48,756116,12749312918,756116,12749312918,1,1,1
Maryland,50,11,7,54,61,2064143,37345546077,2127931,38139466651,0.8196721311,0.9700234641,0.9791837526
Massachusetts,112,15,48,79,127,3313274,53873227439,3432294,55874319120,0.8818897638,0.9653234834,0.9641858422
Michigan,158,13,111,60,171,5930196,108671262080,5998736,109673101357,0.9239766082,0.9885742596,0.9908652234
Minnesota,79,3,59,23,82,2151931,42276913697,2166977,42574516447,0.9634146341,0.9930566868,0.9930098384
Mississippi,54,1,1,54,55,742552,8557414434,746667,8569494132,0.9818181818,0.9944888417,0.9985903838
Missouri,84,6,78,12,90,1811051,24070995071,1818962,24183030071,0.9333333333,0.9956508162,0.9953672059
Montana,41,0,9,32,41,434309,7751164812,434309,7751164812,1,1,1
Nebraska,49,1,10,40,50,560731,6736303822,563170,6770549792,0.98,0.9956691585,0.9949419218
Nevada,13,0,8,5,13,406953,8569739730,406953,8569739730,1,1,1
New Hampshire,12,0,7,5,12,824175,13027294951,824175,13027294951,1,1,1
New Jersey,73,54,5,122,127,785448,13326371230,932972,15195571738,0.5748031496,0.8418773554,0.8769904456
New Mexico,35,2,18,19,37,1121802,19531585639,1135855,19648139949,0.9459459459,0.9876278222,0.9940679214
New York,229,42,10,261,271,6617588,120570005936,6792305,124228319384,0.8450184502,0.9742772152,0.9705516949
North Carolina,47,10,28,29,57,4783238,81136366554,5161935,86614099902,0.8245614035,0.9266366198,0.9367570251
North Dakota,27,2,16,13,29,213119,5663433661,213935,5672861793,0.9310344828,0.9961857574,0.998338029
Ohio,168,29,89,108,197,3066278,45714721720,3245292,48303684033,0.8527918782,0.944838862,0.9464023839
Oklahoma,49,4,9,44,53,1426935,20991633332,1446636,21123708066,0.9245283019,0.9863815085,0.9937475592
Oregon,45,3,20,28,48,2115304,34993453393,2295577,38374398994,0.9375,0.9214694171,0.9118958032
Pennsylvania,225,56,34,247,281,4861089,78218658887,4945279,79403149683,0.8007117438,0.9829756825,0.9850825717
Rhode Island,12,2,8,6,14,495342,10577698556,497846,10617066741,0.8571428571,0.9949703322,0.9962919904
South Carolina,43,3,8,38,46,1663210,23339962779,1684950,23514589977,0.9347826087,0.98709754,0.992573666
South Dakota,31,2,0,33,33,340367,5837477171,344902,5903235742,0.9393939394,0.9868513375,0.9888605887
Tennessee,118,10,70,58,128,2526147,43195136766,2642292,44713980620,0.921875,0.9560438438,0.9660320143
Texas,357,30,160,227,387,9676615,147475916973,10408335,157541809055,0.9224806202,0.9296986502,0.9361065349
Utah,52,2,22,32,54,4033462,63313030882,4034269,63315917031,0.962962963,0.9997999638,0.9999544167
Vermont,13,0,8,5,13,427650,6810654001,427650,6810654001,1,1,1
Virginia,85,10,19,76,95,20567884,272157796043,20590473,272599180369,0.8947368421,0.9989029392,0.9983808303
Washington,71,4,47,28,75,4692870,87359265406,4896738,90239607070,0.9466666667,0.9583665697,0.9680811812
West Virginia,69,5,3,71,74,366258,4913431942,377981,5045345635,0.9324324324,0.9689852135,0.9738543794
Wisconsin,100,0,98,2,100,3873265,70533636902,3873265,70533636902,1,1,1
Wyoming,15,3,0,18,18,382408,5767881268,385044,5803022344,0.8333333333,0.9931540291,0.9939443494
Totals,3915,466,1697,2684,4381,139452946,2313845598988,142986573,2366367394883,0.893631591,0.9752870012,0.9778048852
