League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,9,0,1,8,9,993985,14958326534,993985,14958326534,1,1,1
Association of Vermont Credit Unions,15,1,11,5,16,432372,6773970059,435787,6853238232,0.9375,0.9921636029,0.9884334718
California and Nevada Credit Union League,215,43,115,143,258,13993343,292065671212,14405808,299450505920,0.8333333333,0.9713681454,0.9753387135
Carolinas Credit Union League,92,13,37,68,105,6579577,102223143854,6842950,106823942029,0.8761904762,0.9615117749,0.9569310204
Cooperative Credit Union Association,149,19,63,105,168,4716972,77477716569,4838511,79532801658,0.8869047619,0.9748809086,0.9741605344
Cornerstone League,595,50,295,350,645,14131942,205951017193,14944347,216935190654,0.9224806202,0.9456379727,0.9493665669
Credit Union Association of New Mexico,35,3,18,20,38,1051339,18341460848,1115103,19131146807,0.9210526316,0.9428178384,0.9587224976
CrossState Credit Union Association,305,116,41,380,421,5653091,89738917850,5894108,92780261401,0.7244655582,0.9591088253,0.9672199291
Dakota Credit Union Association,62,0,16,46,62,557759,11365002259,557759,11365002259,1,1,1
GoWest Credit Union Association,241,27,134,134,268,12701269,221091668482,13148681,228113297133,0.8992537313,0.9659728607,0.9692186789
Hawaii Credit Union League,42,3,0,45,45,853176,15768517019,869664,15995105593,0.9333333333,0.9810409537,0.9858338807
Illinois Credit Union League,189,10,153,46,199,4084906,71540471483,4100327,71606531455,0.9497487437,0.9962390804,0.9990774588
Indiana Credit Union League,114,13,32,95,127,2770504,44912763920,2803355,45322528568,0.8976377953,0.9882815412,0.9909589191
Iowa Credit Union League,62,4,65,1,66,1643342,32826002557,1659354,33075411246,0.9393939394,0.9903504617,0.9924593927
Kentucky's Credit Unions,53,1,18,36,54,965811,14995709877,966510,15000970313,0.9814814815,0.9992767793,0.999649327
Luminate Louisiana Credit Unions,125,18,26,117,143,1275988,16109376610,1292351,16244755214,0.8741258741,0.9873385791,0.9916663192
Maine Credit Union League,48,0,12,36,48,754499,12398712275,754499,12398712275,1,1,1
Maryland & DC Credit Union Association,85,21,7,99,106,2656904,52496142186,2756477,54146355266,0.8018867925,0.9638767165,0.9695230995
Michigan Credit Union League,159,17,112,64,176,5904611,105753559509,5985294,106896370015,0.9034090909,0.9865197933,0.9893091739
Minnesota Credit Union Network,81,3,59,25,84,2161472,41349942133,2176323,41643289195,0.9642857143,0.9931761048,0.9929557183
Mississippi Credit Union Association,55,1,1,55,56,737282,8314976081,741332,8327004159,0.9821428571,0.9945368607,0.9985555336
Montanas Credit Unions,42,0,9,33,42,436550,7639740842,436550,7639740842,1,1,1
Nebraska Credit Union League and Affils,48,2,10,40,50,554412,6522435535,560419,6597470198,0.96,0.9892812342,0.9886267523
New York Credit Union Association,230,46,12,264,276,6730143,121160689126,6908321,124816630824,0.8333333333,0.9742082049,0.9707094986
Ohio Credit Union League,170,33,92,111,203,3087973,44887549627,3270330,47456513343,0.8374384236,0.9442389606,0.9458669941
Tennessee Credit Union League,119,9,70,58,128,2509015,42065942291,2623984,43544854287,0.9296875,0.9561853273,0.9660370434
The Credit Union League of Connecticut Inc,59,10,25,44,69,927485,14694261376,944057,14892533837,0.8550724638,0.9824459752,0.9866864522
The League of Credit Unions & Affiliates,320,46,169,197,366,32300920,439346011855,32700289,444647657242,0.8743169399,0.9877869887,0.9880767495
Utah Credit Union Association,52,2,22,32,54,3974907,60492121771,3975786,60494944814,0.962962963,0.9997789116,0.9999533342
West Virginia Credit Union League,69,5,3,71,74,365693,4767761618,377372,4895732305,0.9324324324,0.9690517579,0.9738607671
Wisconsin Credit Union League,103,1,101,3,104,3909703,69525972944,3909864,69526846615,0.9903846154,0.9999588221,0.999987434
Totals,3943,517,1729,2731,4460,139416945,2267555555495,142989497,2321113670233,0.8840807175,0.9750152838,0.9769256821
