League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,9,0,1,8,9,998763,15145831832,998763,15145831832,1,1,1
Association of Vermont Credit Unions,13,0,8,5,13,427650,6810654001,427650,6810654001,1,1,1
California and Nevada Credit Union League,212,41,111,142,253,13905546,293587149519,14288326,300883655093,0.837944664,0.9732102977,0.9757497443
Carolinas Credit Union League,90,13,36,67,103,6446448,104476329333,6846885,110128689879,0.8737864078,0.9415154483,0.9486749497
Cooperative Credit Union Association,147,17,63,101,164,4728228,78599810615,4849752,80640270481,0.8963414634,0.9749422238,0.9746967631
Cornerstone League,592,46,291,347,638,13930262,206026105152,14713074,216718102884,0.9278996865,0.946794803,0.9506640304
Credit Union Association of New Mexico,35,2,18,19,37,1121802,19531585639,1135855,19648139949,0.9459459459,0.9876278222,0.9940679214
CrossState Credit Union Association,296,107,38,365,403,5644313,91523208228,5875644,94575421359,0.7344913151,0.9606288264,0.9677272056
Dakota Credit Union Association,58,4,16,46,62,553486,11500910832,558837,11576097535,0.935483871,0.9904247571,0.9935050044
GoWest Credit Union Association,242,21,130,133,263,12211825,215415602222,12657722,222389331720,0.9201520913,0.9647727292,0.9686417984
Hawaii Credit Union League,45,0,0,45,45,876655,16443403180,876655,16443403180,1,1,1
Illinois Credit Union League,186,7,151,42,193,4094797,73477143576,4108719,73531549037,0.9637305699,0.996611596,0.9992601072
Indiana Credit Union League,112,12,31,93,124,2762001,46523796374,2794427,46949379952,0.9032258065,0.98839619,0.9909352673
Iowa Credit Union League,62,4,65,1,66,1653585,33479449866,1669454,33727152391,0.9393939394,0.990494497,0.9926556941
Kentucky's Credit Unions,53,1,17,37,54,968322,15446496091,969006,15451796828,0.9814814815,0.999294122,0.9996569501
Luminate Louisiana Credit Unions,123,16,24,115,139,1277765,16622878305,1289614,16703220599,0.8848920863,0.9908119794,0.9951900118
Maine Credit Union League,48,0,12,36,48,756116,12749312918,756116,12749312918,1,1,1
Maryland & DC Credit Union Association,85,19,7,97,104,2549947,51873386093,2771193,55396501101,0.8173076923,0.9201621829,0.9364018496
Michigan Credit Union League,158,13,111,60,171,5930196,108671262080,5998736,109673101357,0.9239766082,0.9885742596,0.9908652234
Minnesota Credit Union Network,79,3,59,23,82,2151931,42276913697,2166977,42574516447,0.9634146341,0.9930566868,0.9930098384
Mississippi Credit Union Association,54,1,1,54,55,742552,8557414434,746667,8569494132,0.9818181818,0.9944888417,0.9985903838
Montanas Credit Unions,41,0,9,32,41,434309,7751164812,434309,7751164812,1,1,1
Nebraska Credit Union League and Affils,48,1,10,39,49,558214,6714616626,560653,6748862596,0.9795918367,0.9956497156,0.9949256679
New York Credit Union Association,227,43,10,260,270,6608693,120465210923,6787519,124173134860,0.8407407407,0.9736537017,0.9701390809
Ohio Credit Union League,165,30,89,106,195,2771318,41353702041,3243963,48299479714,0.8461538462,0.8543001261,0.8561935302
Tennessee Credit Union League,116,11,70,57,127,2524157,43181555244,2641907,44712833413,0.9133858268,0.9554299224,0.96575305
The Credit Union League of Connecticut Inc,58,7,26,39,65,872408,14554245470,892182,14744448514,0.8923076923,0.9778363607,0.9871000232
The League of Credit Unions & Affiliates,316,43,162,197,359,29628645,420273038422,32976996,459662161167,0.8802228412,0.8984640384,0.9143085377
Utah Credit Union Association,52,2,22,32,54,4033462,63313030882,4034269,63315917031,0.962962963,0.9997999638,0.9999544167
West Virginia Credit Union League,69,5,3,71,74,365016,4901410244,376739,5033323937,0.9324324324,0.9688829667,0.9737919326
Wisconsin Credit Union League,100,0,98,2,100,3873265,70533636902,3873265,70533636902,1,1,1
Totals,3891,469,1689,2671,4360,135401677,2261780255553,142321874,2355260585621,0.8924311927,0.9513764342,0.9603099841
