League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,1,8,1,8,9,756781,11899356558,977893,15381677269,0.1111111111,0.7738893724,0.7736059176
Association of Vermont Credit Unions,4,12,11,5,16,297578,4978902582,428711,6726787403,0.25,0.6941226141,0.7401605378
California and Nevada Credit Union League,52,216,121,147,268,4760227,104704111482,14230580,306846203594,0.1940298507,0.3345068859,0.3412266805
Carolinas Credit Union League,32,76,37,71,108,5746988,96663003897,6791840,109865117585,0.2962962963,0.8461606869,0.879833436
Cooperative Credit Union Association,27,146,66,107,173,2422155,34328435749,4865136,79643293733,0.1560693642,0.4978596693,0.4310273237
Cornerstone League,76,592,308,360,668,7143075,111311163919,14943357,217984692218,0.1137724551,0.4780100616,0.5106375259
Credit Union Association of New Mexico,8,32,18,22,40,810143,14785831363,1097375,19215752349,0.2,0.7382553822,0.7694640883
CrossState Credit Union Association,56,384,44,396,440,3257136,54280399569,5861125,91447319876,0.1272727273,0.5557185694,0.5935701521
Dakota Credit Union Association,6,55,16,45,61,58834,891941248,539895,10970591018,0.09836065574,0.1089730411,0.08130293496
GoWest Credit Union Association,54,220,135,139,274,5676277,102666848929,13106216,228625965088,0.197080292,0.4330980811,0.4490603195
Hawaii Credit Union League,7,40,0,47,47,260367,4586973167,874682,15381030374,0.1489361702,0.2976704677,0.2982227494
Illinois Credit Union League,17,190,158,49,207,2336216,47318523961,4020150,72024900358,0.08212560386,0.5811265749,0.6569745147
Indiana Credit Union League,18,111,34,95,129,1474299,25452424676,2810005,45183309276,0.1395348837,0.5246606323,0.5633147524
Iowa Credit Union League,3,65,67,1,68,71871,1072234800,1644379,32877731497,0.04411764706,0.04370707726,0.03261279751
Kentucky's Credit Union,7,49,18,38,56,563069,9265554997,981747,14561531497,0.125,0.5735377852,0.6363036058
League of Southeastern Credit Unions,53,231,154,130,284,7246320,108216405638,12411216,188421342325,0.1866197183,0.5838525411,0.5743319961
Louisiana Credit Union League,15,133,26,122,148,622512,8302240748,1343919,17136668228,0.1013513514,0.4632064879,0.4844722812
Maine Credit Union League,1,46,12,35,47,18092,249546237,732948,12037648648,0.02127659574,0.02468387935,0.0207304802
Maryland & DC Credit Union Association,42,67,7,102,109,1708351,37371326001,2705527,54195630443,0.3853211009,0.6314300319,0.6895634518
Michigan Credit Union League,18,168,120,66,186,2046754,42649603820,6002754,105118214191,0.09677419355,0.3409691618,0.4057299123
Minnesota Credit Union Network,14,71,60,25,85,1002373,21707491242,2157485,41958434049,0.1647058824,0.4646025349,0.51735704
Mississippi Credit Union Association,6,54,1,59,60,435714,5193652379,714569,7970358893,0.1,0.6097577701,0.651620893
Montanas Credit Unions,3,40,9,34,43,138331,3341646414,431379,7627811058,0.06976744186,0.3206716136,0.4380872033
Nebraska Credit Union League and Affils,4,49,10,43,53,184812,2052845622,570029,6602385070,0.07547169811,0.3242150838,0.3109248552
New York Credit Union Association,71,213,12,272,284,5538090,104337108906,6780046,123072037211,0.25,0.8168218918,0.8477726645
Ohio Credit Union League,31,178,95,114,209,909454,13442941958,3265422,46876264745,0.1483253589,0.2785104039,0.2867750242
Tennessee Credit Union League,15,115,73,57,130,852255,16872930447,2577340,41770151969,0.1153846154,0.3306723211,0.4039470687
The Credit Union League of Connecticut Inc,21,53,25,49,74,533885,7903893672,943825,15087185754,0.2837837838,0.5656610071,0.523881246
Utah Credit Union Association,5,51,24,32,56,1629839,24665231699,3818197,57651579430,0.08928571429,0.426860898,0.4278327141
Virginia Credit Union League,34,55,21,68,89,18560631,245479321877,19443588,258507769187,0.3820224719,0.9545887827,0.9496013317
West Virginia Credit Union League,5,71,3,73,76,56818,698871102,377692,4980528896,0.06578947368,0.1504347458,0.14032066
Wisconsin Credit Union League,5,105,107,3,110,1326200,18975039681,3875566,69305399092,0.04545454545,0.3421951787,0.2737887658
Totals,711,3896,1793,2814,4607,78445447,1285665804340,141324593,2325055312324,0.1543303668,0.5550728669,0.5529613844
