League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,9,0,1,8,9,984399,14792094339,984399,14792094339,1,1,1
Association of Vermont Credit Unions,15,1,11,5,16,427252,6714136932,430657,6791410370,0.9375,0.9920934758,0.9886218865
California and Nevada Credit Union League,231,35,120,146,266,13799711,292997108037,14301193,301930789314,0.8684210526,0.9649342541,0.970411493
Carolinas Credit Union League,100,7,37,70,107,6622151,105846339071,6854083,109955560595,0.9345794393,0.9661614836,0.9626283427
Cooperative Credit Union Association,154,17,65,106,171,4795422,77293771512,4894065,78935256678,0.9005847953,0.9798443625,0.9792046642
Cornerstone League,613,48,302,359,661,14133980,206859337488,14889481,217360907141,0.9273827534,0.9492594134,0.951686024
Credit Union Association of New Mexico,37,3,18,22,40,1046395,18412622640,1109199,19161611060,0.925,0.9433789609,0.960912033
CrossState Credit Union Association,327,110,44,393,437,5654991,88753384127,5876718,91626813257,0.7482837529,0.9622702672,0.9686398661
Dakota Credit Union Association,57,4,16,45,61,538255,10944624194,543608,11016800409,0.9344262295,0.9901528307,0.993448532
GoWest Credit Union Association,253,19,134,138,272,12923724,223265607448,13016403,225089821212,0.9301470588,0.9928798302,0.9918956186
Hawaii Credit Union League,46,0,0,46,46,871312,15384251214,871312,15384251214,1,1,1
Illinois Credit Union League,195,9,156,48,204,4036149,71128665864,4050133,71189866644,0.9558823529,0.9965472739,0.9991403161
Indiana Credit Union League,116,12,33,95,128,2773563,44282035418,2807247,44696692367,0.90625,0.9880010558,0.9907228717
Iowa Credit Union League,64,4,67,1,68,1633651,32276242924,1649878,32528786202,0.9411764706,0.9901647273,0.9922363141
Kentucky's Credit Unions,55,1,18,38,56,961359,14592514774,962096,14598099393,0.9821428571,0.9992339642,0.999617442
League of Southeastern Credit Unions,256,26,153,129,282,12152482,183853824396,12483087,188341377503,0.9078014184,0.9735157658,0.9761733021
Luminate Louisiana Credit Unions,131,16,26,121,147,1330154,16997868690,1342099,17078482914,0.8911564626,0.9910997624,0.9952797784
Maine Credit Union League,47,0,12,35,47,742159,12018979048,742159,12018979048,1,1,1
Maryland & DC Credit Union Association,95,13,7,101,108,2596673,52067033693,2722911,53983163453,0.8796296296,0.9536385875,0.9645050487
Michigan Credit Union League,178,6,119,65,184,5969778,105443525220,5998448,105900361805,0.9673913043,0.9952204304,0.995686166
Minnesota Credit Union Network,81,4,59,26,85,2126792,40607191790,2145412,40946769583,0.9529411765,0.9913210143,0.9917068478
Mississippi Credit Union Association,59,0,1,58,59,718324,7965239011,718324,7965239011,1,1,1
Montanas Credit Unions,42,0,9,33,42,430611,7615512758,430611,7615512758,1,1,1
Nebraska Credit Union League and Affils,52,1,10,43,53,569709,6589815225,572230,6624319172,0.9811320755,0.9955944288,0.9947913218
New York Credit Union Association,241,43,12,272,284,6600354,119514033037,6852462,123385042085,0.8485915493,0.9632091356,0.9686265938
Ohio Credit Union League,177,31,95,113,208,3221626,46154641894,3280798,46869134697,0.8509615385,0.9819641441,0.9847555794
Tennessee Credit Union League,121,9,72,58,130,2386591,40201242939,2602076,42324766789,0.9307692308,0.9171872766,0.9498278665
The Credit Union League of Connecticut Inc,62,10,25,47,72,936033,14892683761,950884,15070728546,0.8611111111,0.9843819015,0.9881860532
Utah Credit Union Association,54,2,24,32,56,3875416,58550990077,3876616,58554690013,0.9642857143,0.9996904517,0.9999368123
Virginia Credit Union League,80,10,21,69,90,19640927,256944008379,19654950,257043633045,0.8888888889,0.999286541,0.9996124212
West Virginia Credit Union League,70,5,3,72,75,366726,4855661717,378688,4985877240,0.9333333333,0.9684119909,0.9738831269
Wisconsin Credit Union League,106,2,105,3,108,3881074,69192987736,3882601,69221699441,0.9814814815,0.9996067069,0.999585221
Totals,4124,448,1775,2797,4572,138747743,2267007975353,141874828,2312988537298,0.9020122485,0.9779588455,0.9801207134
