League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,1,8,1,8,9,774540,11619726090,998763,15145831832,0.1111111111,0.7754992926,0.7671896941
Association of Vermont Credit Unions,3,12,10,5,15,231976,4126476665,437000,6924706432,0.2,0.5308375286,0.5959063688
California and Nevada Credit Union League,46,212,114,144,258,4665845,104300047336,14598000,306413110648,0.1782945736,0.3196222085,0.3403902892
Carolinas Credit Union League,25,80,37,68,105,4967376,86616477617,6853837,110191842461,0.2380952381,0.724758409,0.7860516322
Cooperative Credit Union Association,20,147,63,104,167,2284596,32776492753,4870420,80905133137,0.119760479,0.4690757676,0.4051225365
Cornerstone League,70,575,293,352,645,6744766,106464885136,15099151,222583975355,0.1085271318,0.4466983607,0.478313342
Credit Union Association of New Mexico,8,29,18,19,37,846541,14713956802,1135855,19648139949,0.2162162162,0.7452896717,0.7488727605
CrossState Credit Union Association,53,365,41,377,418,3125656,53688576928,5909466,95255753142,0.1267942584,0.5289235948,0.5636255571
Dakota Credit Union Association,6,56,16,46,62,58578,942120128,558837,11576097535,0.09677419355,0.1048212627,0.08138495077
GoWest Credit Union Association,46,222,134,134,268,5232122,94836098195,13239304,232752687289,0.171641791,0.3951961523,0.4074543641
Hawaii Credit Union League,5,40,0,45,45,216315,4302509720,876655,16443403180,0.1111111111,0.246750432,0.2616556727
Illinois Credit Union League,15,183,153,45,198,2318222,46539223056,4121842,73627877445,0.07575757576,0.5624237901,0.6320869849
Indiana Credit Union League,16,111,32,95,127,1213878,22268158609,2800866,47038267897,0.125984252,0.4333938146,0.4734051572
Iowa Credit Union League,2,64,65,1,66,19599,257819004,1669454,33727152391,0.0303030303,0.01173976641,0.007644256503
Kentucky's Credit Unions,6,48,17,37,54,505824,9452897476,969006,15451796828,0.1111111111,0.5220029597,0.6117668761
Luminate Louisiana Credit Unions,14,127,25,116,141,572010,7548338657,1290365,16708552495,0.09929078014,0.4432931767,0.4517649664
Maine Credit Union League,1,47,12,36,48,18475,268790282,756116,12749312918,0.02083333333,0.02443408154,0.02108272687
Maryland & DC Credit Union Association,39,67,7,99,106,1672995,36811943063,2775152,55422015998,0.3679245283,0.6028480602,0.6642115484
Michigan Credit Union League,15,158,112,61,173,1983139,42248096740,6006525,109777976238,0.08670520231,0.3301641132,0.3848503879
Minnesota Credit Union Network,12,71,59,24,83,736644,17483217122,2187951,42918807203,0.1445783133,0.3366821286,0.4073556154
Mississippi Credit Union Association,3,53,1,55,56,360812,4567323174,750083,8616711457,0.05357142857,0.4810294327,0.5300540928
Montanas Credit Unions,3,39,9,33,42,142016,3332121702,438188,7802394171,0.07142857143,0.3240983322,0.4270640048
Nebraska Credit Union League and Affils,4,46,10,40,50,191850,2142206046,563170,6770549792,0.08,0.3406609017,0.3164006044
New York Credit Union Association,64,210,11,263,274,5650880,106659114440,6966552,127062857132,0.2335766423,0.8111444514,0.8394200858
Ohio Credit Union League,31,170,91,110,201,920072,13275444441,3262777,48534328374,0.1542288557,0.281990464,0.2735269012
Tennessee Credit Union League,12,116,70,58,128,846012,17591608222,2642292,44713980620,0.09375,0.3201811155,0.3934252325
The Credit Union League of Connecticut Inc,15,52,26,41,67,461851,7171396363,902715,14904971718,0.223880597,0.5116243776,0.4811412258
The League of Credit Unions & Affiliates,82,283,166,199,365,25356891,341269510083,33062164,460729527177,0.2246575342,0.7669458962,0.7407155174
Utah Credit Union Association,4,50,22,32,54,1752792,27032840930,4034269,63315917031,0.07407407407,0.4344757377,0.4269517397
West Virginia Credit Union League,3,71,3,71,74,36885,494429892,376739,5033323937,0.04054054054,0.09790597735,0.09823128775
Wisconsin Credit Union League,3,99,99,3,102,777167,8864790646,3924882,71313916220,0.02941176471,0.1980102841,0.1243066026
Totals,627,3811,1717,2721,4438,74686325,1229666637318,144078396,2384060918002,0.1412798558,0.5183728239,0.5157865842
