League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,9,0,1,8,9,1025104,16646542246,1025104,16646542246,1,1,1
Association of Vermont Credit Unions,13,0,8,5,13,441313,6979988720,441313,6979988720,1,1,1
California and Nevada Credit Union League,213,41,111,143,254,14506640,291685426026,14966661,299792267191,0.8385826772,0.9692636187,0.9729584714
Carolinas Credit Union League,92,11,36,67,103,6550402,105812489886,6942691,111616877483,0.8932038835,0.943496117,0.9479972229
Connecticut?s Credit Unions,57,7,25,39,64,882553,14455092315,901658,14636112993,0.890625,0.9788112566,0.9876319158
Cooperative Credit Union Association,144,17,61,100,161,3592471,66231868261,3722675,68258609401,0.8944099379,0.9650240754,0.9703079046
Cornerstone League,591,43,288,346,634,13886101,207848319947,14636499,217860035364,0.9321766562,0.9487310456,0.9540451951
Credit Union Association of New Mexico,35,2,18,19,37,1114562,20064672772,1128873,20176952901,0.9459459459,0.9873227546,0.9944352287
CrossState Credit Union Association,298,103,37,364,401,5714904,92338453373,5910627,95167792631,0.7431421446,0.9668862542,0.9702699918
Dakota Credit Union Association,58,4,16,46,62,559822,11664234657,565043,11743286392,0.935483871,0.9907599953,0.9932683465
GoWest Credit Union Association,243,19,131,131,262,13177256,231985632988,13615438,238870133640,0.927480916,0.9678172674,0.9711788973
Hawaii Credit Union League,45,0,0,45,45,879211,16700059411,879211,16700059411,1,1,1
Illinois Credit Union League,186,7,151,42,193,4180199,74660016197,4195713,74714997121,0.9637305699,0.9963024163,0.9992641247
Indiana Credit Union League,112,12,31,93,124,2774829,47171461005,2807051,47602088701,0.9032258065,0.9885210493,0.9909535966
Iowa Credit Union League,62,4,65,1,66,1612180,33773497658,1627829,34012480871,0.9393939394,0.9903865824,0.9929736612
Kentucky's Credit Unions,52,1,17,36,53,989724,15753128283,990394,15758274784,0.9811320755,0.9993235016,0.9996734096
Luminate Louisiana Credit Unions,123,15,24,114,138,1279162,16674176914,1290613,16755530751,0.8913043478,0.991127472,0.9951446577
Maine Credit Union League,48,0,12,36,48,766689,12989817237,766689,12989817237,1,1,1
Maryland & DC Credit Union Association,85,18,7,96,103,2579084,52190462522,2798253,55719168528,0.8252427184,0.9216764889,0.9366698014
Michigan Credit Union League,158,12,111,59,170,6001259,110461750536,6070606,111472386374,0.9294117647,0.9885765935,0.9909337561
Minnesota Credit Union Network,78,3,58,23,81,1795715,33048361676,1811273,33351973371,0.962962963,0.991410461,0.9908967397
Montana?s Credit Unions,41,0,9,32,41,441795,7870799831,441795,7870799831,1,1,1
Nebraska Credit Union League and Affils,49,1,10,40,50,560685,6750352631,563093,6783489448,0.98,0.9957236194,0.995115078
New York Credit Union Association,228,42,11,259,270,6930379,125394389276,7107001,129036700888,0.8444444444,0.9751481673,0.9717730569
Ohio Credit Union League,166,28,89,105,194,2789541,41686080468,3277284,48563194492,0.8556701031,0.8511746312,0.8583883516
Tennessee League and Mississippi Credit Union Association,179,3,70,112,182,3486872,55412264835,3507284,55846379033,0.9835164835,0.994180112,0.9922266366
The League of Credit Unions & Affiliates,312,43,160,195,355,30290211,426684726451,33553586,464731243268,0.8788732394,0.902741394,0.9181322165
Utah Credit Union Association,52,1,21,32,53,4119677,65193707966,4120388,65196363841,0.9811320755,0.9998274434,0.9999592634
West Virginia Credit Union League,69,5,3,71,74,364510,4935952425,375783,5065546359,0.9324324324,0.9700013039,0.974416593
Wisconsin Credit Union League,100,0,98,2,100,3910367,72454956365,3910367,72454956365,1,1,1
Totals,3898,442,1679,2661,4340,137203217,2285518682878,143950795,2376374049636,0.898156682,0.9531258025,0.9617672282
