ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,20,8,6,22,28,1978,2217672,3013,3380021,0.7142857143,0.6564885496,0.6561118999
$200K-$500K,37,10,14,33,47,9380,13165317,11296,16596970,0.7872340426,0.8303824363,0.793236175
$500K-$1M,48,12,16,44,60,15800,35060232,18148,44037581,0.8,0.870619352,0.7961434576
$1M-$2M,66,41,33,74,107,21740,96420068,37652,159557326,0.6168224299,0.5773929672,0.604297342
$2M-$5M,175,56,59,172,231,108325,608656745,141622,799366134,0.7575757576,0.7648882236,0.7614242324
$5M-$10M,266,64,101,229,330,274737,1899673711,347816,2369089027,0.8060606061,0.7898917819,0.8018583048
$10M-$20M,350,64,122,292,414,584378,5085980251,687333,5981240889,0.845410628,0.8502108876,0.8503219224
$20M-$50M,679,67,250,496,746,1985742,22658411487,2164224,24880561328,0.9101876676,0.9175307177,0.9106873108
$50M-$100M,544,40,223,361,584,3122445,39596706448,3328078,42478406523,0.9315068493,0.9382126861,0.9321608245
$100M-$200M,504,28,214,318,532,5191586,71832284146,5402283,75773587025,0.9473684211,0.960998526,0.9479857951
$200M-$500M,506,24,232,298,530,10770132,162472354408,11212221,169951421513,0.9547169811,0.9605707915,0.9559929123
$500M-$1B,272,5,146,131,277,12112654,195203775474,12392917,198617304080,0.9819494585,0.9773852274,0.9828135387
> $1B,450,11,260,201,461,106609566,1829044506519,108442927,1858156105651,0.9761388286,0.9830937706,0.9843330713
Totals,3917,430,1676,2671,4347,140808463,2328549212478,144189530,2379230654068,0.9010812054,0.9765512309,0.9786983908
