League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,1,8,1,8,9,756781,11899356558,977893,15381677269,0.1111111111,0.7738893724,0.7736059176
Association of Vermont Credit Unions,4,12,11,5,16,297578,4978902582,428711,6726787403,0.25,0.6941226141,0.7401605378
California and Nevada Credit Union League,52,215,120,147,267,4760227,104704111482,14227851,306800235779,0.1947565543,0.3345710466,0.3412778064
Carolinas Credit Union League,32,76,37,71,108,5746988,96663003897,6791840,109865117585,0.2962962963,0.8461606869,0.879833436
Cooperative Credit Union Association,27,144,66,105,171,2422155,34328435749,4862996,79612976744,0.1578947368,0.4980787564,0.4311914609
Cornerstone League,76,587,304,359,663,7143075,111311163919,14928042,217763116149,0.1146304676,0.4785004624,0.5111571045
Credit Union Association of New Mexico,8,32,18,22,40,810143,14785831363,1097375,19215752349,0.2,0.7382553822,0.7694640883
CrossState Credit Union Association,57,380,44,393,437,3278654,54623597022,5850429,91369229994,0.1304347826,0.5604125783,0.5978336145
Dakota Credit Union Association,6,55,16,45,61,58834,891941248,539895,10970591018,0.09836065574,0.1089730411,0.08130293496
GoWest Credit Union Association,54,220,135,139,274,5676277,102666848929,13106216,228625965088,0.197080292,0.4330980811,0.4490603195
Hawaii Credit Union League,7,40,0,47,47,260367,4586973167,874682,15381030374,0.1489361702,0.2976704677,0.2982227494
Illinois Credit Union League,17,189,157,49,206,2336216,47318523961,4008349,71803176809,0.08252427184,0.5828374725,0.6590032094
Indiana Credit Union League,18,111,34,95,129,1474299,25452424676,2810005,45183309276,0.1395348837,0.5246606323,0.5633147524
Iowa Credit Union League,3,65,67,1,68,71871,1072234800,1644379,32877731497,0.04411764706,0.04370707726,0.03261279751
Kentucky's Credit Union,7,49,18,38,56,563069,9265554997,981747,14561531497,0.125,0.5735377852,0.6363036058
League of Southeastern Credit Unions,53,230,154,129,283,7246320,108216405638,12406724,188368603371,0.1872791519,0.5840639318,0.574492796
Luminate Louisiana Credit Unions,15,132,26,121,147,622512,8302240748,1308033,16727440209,0.1020408163,0.4759145985,0.4963246405
Maine Credit Union League,1,46,12,35,47,18092,249546237,732948,12037648648,0.02127659574,0.02468387935,0.0207304802
Maryland & DC Credit Union Association,42,66,7,101,108,1708351,37371326001,2704048,54185813199,0.3888888889,0.6317753975,0.6896883851
Michigan Credit Union League,18,168,120,66,186,2046754,42649603820,5999090,105048411909,0.09677419355,0.3411774119,0.4059995106
Minnesota Credit Union Network,14,71,60,25,85,1002373,21707491242,2157485,41958434049,0.1647058824,0.4646025349,0.51735704
Mississippi Credit Union Association,6,53,1,58,59,435714,5193652379,714321,7970168238,0.1016949153,0.6099694675,0.6516364804
Montanas Credit Unions,3,39,9,33,42,138331,3341646414,431035,7626301237,0.07142857143,0.3209275349,0.4381739339
Nebraska Credit Union League and Affils,4,49,10,43,53,184812,2052845622,570029,6602385070,0.07547169811,0.3242150838,0.3109248552
New York Credit Union Association,71,213,12,272,284,5538090,104337108906,6780046,123072037211,0.25,0.8168218918,0.8477726645
Ohio Credit Union League,31,177,95,113,208,909454,13442941958,3265214,46875539784,0.1490384615,0.2785281455,0.2867794594
Tennessee Credit Union League,15,114,72,57,129,931880,17097941528,2576754,41767638196,0.1162790698,0.3616488031,0.4093585912
The Credit Union League of Connecticut Inc,20,53,25,48,73,530666,7858659276,940606,15041951358,0.2739726027,0.5641745853,0.5224494541
Utah Credit Union Association,5,51,24,32,56,1629839,24665231699,3818197,57651579430,0.08928571429,0.426860898,0.4278327141
Virginia Credit Union League,35,55,21,69,90,18569665,245560563484,19452622,258589010794,0.3888888889,0.9546098721,0.9496171656
West Virginia Credit Union League,5,71,3,73,76,56818,698871102,377692,4980528896,0.06578947368,0.1504347458,0.14032066
Wisconsin Credit Union League,5,105,107,3,110,1326200,18975039681,3875566,69305399092,0.04545454545,0.3421951787,0.2737887658
Totals,712,3876,1786,2802,4588,78552405,1286270020085,141240820,2323947119522,0.1551874455,0.5561593667,0.553485064
